PWSID,LAT,LON,POP_SERVED,AREA_sqm
105300087,48.14566061,-123.5512195,511,871361.3717
105300088,48.9767094,-122.6067683,150,703749.8927
105300089,47.03019567,-122.6884653,300,4431132.143
105300090,48.09588769,-122.3021815,1500,6376491.413
105300091,48.11033452,-122.3097082,1000,43624.70878
105300092,48.13508009,-122.3202635,1000,3115969.933
105300109,48.14123344,-123.1453679,45,1170036.694
105300117,48.39082139,-122.5009803,27,263103.0025
105300120,48.83035873,-122.2361338,25,60852.24084
105300123,47.90416034,-118.296209,480,299817.1028
105300127,46.34025427,-120.854521,240,58597.95856
105300133,47.19974563,-124.1665508,207,400845.9088
105300141,48.85724627,-122.3331565,150,1707240.226
105300144,48.03899611,-122.2509719,86,92935.17838
105300146,47.1304582,-123.0588647,1500,14634834.07
105311103,47.89863314,-117.8695509,235,284513.9405
105311106,48.5224916,-121.4178826,80,308709.878
105311107,48.12405943,-123.5813327,216,1123192.961
105338100,47.92640201,-117.7942865,140,686951.0679
105338102,46.50217706,-120.4680548,300,136683.6868
105338111,46.63545531,-123.2536729,68,57939.58962
105388889,48.09423099,-123.1305631,3200,2847401.208
AK2110342,58.39409519,-134.5353625,38526,45712720.85
AK2110449,58.39524411,-134.5580323,180,29781.02127
AK2110562,59.24443933,-135.4376087,113,97247.12316
AK2110601,59.45668729,-135.3145108,9411,1675603.039
AK2111566,59.22823482,-135.4637185,1748,5562483.82
AK2120012,55.43538537,-131.79673,225,71856.4136
AK2120127,55.31322761,-131.5851133,450,1783523.172
AK2120143,56.47223142,-132.380105,2300,2927217.541
AK2120169,55.55562957,-133.0771484,904,1661959.742
AK2120216,55.68851804,-132.552615,470,8485667.511
AK2120232,55.34842248,-131.6361663,8937,6942884.138
AK2120436,56.01217725,-132.8655759,199,15806356.26
AK2121510,55.48666243,-131.7681035,975,103004.2685
AK2130067,58.10887407,-135.4370829,980,627044.0836
AK2130075,57.06192157,-135.3279635,9448,22893433.17
AK2130083,56.98313976,-133.9567435,415,835468.2995
AK2130122,57.95877673,-136.2195055,230,769627.6433
AK2130148,56.80137724,-132.9528918,3218,8145932.804
AK2130156,56.25598404,-134.6332448,95,9089064.221
AK2130172,59.55446527,-139.7265625,740,4621974.058
AK2210338,61.15368307,-149.8064559,96,90440.23381
AK2210346,61.10488572,-149.7555953,123,289177.0125
AK2210354,61.372605,-149.5184224,47,2181491.148
AK2210419,61.21352293,-149.8185565,993,228744.9913
AK2210435,61.21489769,-149.7295841,795,137066.6466
AK2210451,61.18968363,-149.7738131,435,122714.7694
AK2210485,61.13576656,-149.9754648,465,209006.7636
AK2210574,61.21784246,-149.8026338,480,43960.86265
AK2210605,61.12675438,-149.7595492,794,634830.0504
AK2210689,61.19927465,-149.7252146,828,619300.9877
AK2210697,61.41347832,-149.4614104,130,164844.9833
AK2210778,61.40348399,-149.4476768,99,1484863.655
AK2210794,61.37288843,-149.487874,175,2337590.573
AK2210891,61.11679186,-149.880902,25,40478.50968
AK2210906,61.13999093,-149.935236,221351,166938318.7
AK2211075,61.13936032,-149.900186,1395,244753.4676
AK2211091,61.19335109,-149.8950786,175,27962.12091
AK2211114,61.20047401,-149.9086534,493,133923.0363
AK2211130,61.2235905,-149.7931071,100,13565.90866
AK2211229,61.13947073,-149.8392267,350,142234.7963
AK2211431,61.41211494,-149.4258052,852,598036.3218
AK2211562,61.3111617,-149.5136079,63,29039.29681
AK2211619,61.2152169,-149.7754974,650,119562.1589
AK2211677,61.13357829,-149.852299,1005,301702.224
AK2211724,61.3234799,-149.5616024,102,75213.12004
AK2211897,61.18707638,-149.8998797,242,29280.77958
AK2211952,60.77571272,-148.6763685,650,498264.3682
AK2212005,60.91939734,-149.6425685,51,29704.35098
AK2212021,60.95181889,-149.1056489,2342,8335210.021
AK2212128,61.20736491,-149.8006923,600,216523.1815
AK2212267,60.96363688,-149.1331123,120,32314.44781
AK2212461,61.12603076,-149.7491604,144,187232.5128
AK2212924,61.1365627,-149.7846479,36,19099.9376
AK2213297,61.39972339,-149.4704708,120,26136.55128
AK2213336,61.2249322,-149.7383146,354,84243.77326
AK2213598,61.11062369,-149.7630681,200,348131.8513
AK2213603,61.11782457,-149.7497439,56,90357.83186
AK2214007,60.95830847,-149.151268,60,575942.293
AK2214730,61.05243641,-149.782636,375,376566.348
AK2215566,61.17909455,-149.8622247,50,10437.5741
AK2216198,61.36085636,-149.5313453,220,117950.6384
AK2217576,61.1508448,-149.8704845,96,7306.964701
AK2218630,61.16924623,-149.8327743,935,205934.4258
AK2218652,61.31161905,-149.5718849,168,28220.41432
AK2218653,60.96557124,-149.131939,60,6316.459705
AK2220037,61.58546904,-149.296923,465,1668115.976
AK2220070,61.61217945,-149.2218475,239,2802398.827
AK2220135,61.65097687,-149.3376923,135,1377401.498
AK2220138,61.55522087,-149.4249918,50,20058.52028
AK2220139,61.58699511,-149.584158,110,92062.43549
AK2220146,61.60798154,-149.3549212,75,708657.6806
AK2220153,61.54701081,-149.5318355,56,3100020.42
AK2220169,61.60278665,-149.4517571,72,7226.66399
AK2220170,61.59562286,-149.2501972,456,177337.8544
AK2220173,61.55060653,-149.5624654,167,2371532.512
AK2220189,61.53076406,-149.8552361,14,6605.316376
AK2220215,61.6154706,-149.3895876,28,185526.1757
AK2220310,61.58562626,-149.4463831,25,65656.76809
AK2220408,61.58616391,-149.340171,1590,260897.8531
AK2220439,61.60213123,-149.2048123,266,77803.10989
AK2220473,61.58436035,-149.3496612,80,6854.077661
AK2220482,61.58556176,-149.3302123,32,3821.67068
AK2220485,61.55062368,-149.3147216,50,527153.2991
AK2220488,61.66765375,-149.2451566,50,247008.6492
AK2220493,61.76132549,-150.0443185,5,41325.95856
AK2220495,62.30962144,-150.1768094,500,446466.6998
AK2221208,61.56963073,-149.6900397,200,230786.5471
AK2221834,61.50527063,-149.6221652,2733,2148473.044
AK2222848,61.589941,-149.538474,75,42530.29752
AK2223145,62.13854783,-150.0384196,90,653936.5138
AK2223315,61.52532613,-149.5154064,180,265245.6295
AK2223624,61.53296215,-149.4851298,100,413882.0671
AK2223983,61.57656329,-149.2500918,120,611354.1336
AK2224028,61.57784292,-149.6246228,39,2029116.198
AK2224036,61.60958971,-149.3981799,120,190586.3595
AK2224078,61.60163548,-149.6092925,180,409983.7137
AK2224117,61.55882755,-149.3176852,168,1432074.727
AK2224159,61.66033656,-149.2981665,63,1442939.123
AK2224167,61.5266535,-149.6104235,912,1454917.072
AK2224214,61.50223525,-149.6438339,168,962100.4463
AK2224256,61.61033973,-149.3748471,170,2260853.433
AK2224329,61.5698055,-149.1586581,118,26510.35632
AK2224337,61.6175706,-149.3212822,74,592294.885
AK2224476,61.57491064,-149.3838874,90,8346.593227
AK2224646,61.59534971,-149.461373,18492,12592822.46
AK2225032,62.32238746,-150.110148,1850,431904.7161
AK2225511,61.57621681,-149.8474669,180,319745.4934
AK2226014,61.55976371,-149.1748371,88,988946.4109
AK2226020,61.59224907,-149.0988088,8111,14843806.37
AK2226021,61.57098688,-149.1195645,168,111990.5436
